,to_id,from_id,date,post
123,7110301,7110301,1469021091,Ищу ПЛОХОГО веб дизайнера срочно отсутсвие адекватного портфолио будет плюсом срочно заказ лендингаВчера я увидел в ленте сообщение типа ищу ХОРОШЕГО дизайнера Мне оно показалось крайне нелепым и поэтому я написал пародийное сообщение в своем паблике для шуток и странных мыслей И что бы вы думали Несколько человек написали мне некоторые даже в личку на полном серьезе предлагая свои услуги Видимо тяжелая у дизайнеров жизнь 
125,7110301,7110301,1468855902,про свою долю ответственности
127,7110301,7110301,1467962561,Чем ленивее сценарист тем длиннее цепочка совпадений
128,7110301,7110301,1467594406,Очень понравилось 
130,7110301,7110301,1466538389,Привет Ждем вас на завтрашней встрече В Еще раз адрес я Фрунзенская улица дом От Парка Культуры до Фрунзенской она закрыта ходит бесплатный автобус каждый минут или чаще так что добираться удобно В доме номер с той стороны где нет подъездов ищите вывеску Души не чаю Это чайный клуб и творческая мастерская вам туда Если что пишите звоните я на связи А вот есть видео как пройти 
133,7110301,7110301,1465582958,Теперь ВК сам предлагает стикеры в соответствии с текстом который пишешь О
135,7110301,7110301,1464703989,Друзья коллеги мне тут сделали необычное предложение о работе Должность специалиста по тестированию персонала в очень крупной металлургической компании Есть только одна тонкость которая и заставила меня отказаться работа подразумевает релокацию в Липецк уже все догадались о какой компании идет речь Думаю что человеку который разбирается в своем деле и готов на переезд условия предоставят хорошие По крайней мере квартиру обещают оплачивать Если кому то это интересно пишите я передам ваши контакты 
138,7110301,7110301,1462450580,Я изучаю как люди находят новых знакомых и друзей в Интернете С какими качествами связано предпочтение того или иного способа знакомства Какие качества позволяют предсказать успешность и глубину знакомств Какие способы и для кого наиболее эффективны Несколько человек уже ответили супер спасибо им но для применения классных статистических методов и хорошей репрезентативности нужно еще хотя бы респондентов Пожалуйста поучаствуйте в исследовании Ответы на все вопросы занимают примерно минут я специально выбирал короткие и максимально интересные методики Репост 
140,7110301,7110301,1461592835,Йайкс го апреля биографического кружка не будет Следующая встреча состоится уже в мае Дату сообщим здесь и в фейсбуке пожалуйста следите за новостями Перенос в хорошем смысле Кстати теперь у Вк есть функция получать уведомления от какой либо группы страницы На них можно подписаться в меню группы там где три точки под аватаркой Подпишитесь на нашу встречу и всегда будете в курсе событий А ничего избыточного и постороннего мы не постим 
143,7110301,7110301,1460897291, Как правильно защититься от энергетического вампиризма Получить образование
